line,station,property_name,bedrooms,livingrooms,building_area,directions1,directions2,decoration,has_elevator,hml,building_height,building_year,building_style,building_location,price_sqm,price_ttl,house,house2
4号线,上海体育场,汇翠花园,2,2,87.37,南,,毛坯,1,高,33,2003,板楼,徐家汇,86987,760,0,0
12号线,江浦公园,长阳新苑,4,2,146.96,南,,简装,1,中,11,2000,板楼,东外滩,79478,1168,0,0
11号线(花桥-三林),安亭,安亭中央公园,1,2,74.31,南,,毛坯,1,低,24,2012,板楼,安亭,31759,236,0,0
7号线,云台路,上南六村,1,1,42.46,南,,简装,0,低,6,1985,板楼,世博,58879,250,0,0
11号线(花桥-三林),徐家汇,文南公寓,2,1,78.88,西南,,精装,1,高,18,1992,塔楼,徐家汇,84686,668,0,0
9号线,陆家浜路,运泰公寓,2,2,114.76,东南,,简装,1,高,18,1999,塔楼,五里桥,73197,840,0,0
12号线,隆昌路,珠江香樟园,3,2,131.88,南,北,简装,1,中,17,2003,板楼,周家嘴路,72036,950,0,0
8号线,西藏北路,嘉宏紫薇园,3,2,143.59,南,,简装,1,高,12,2001,板楼,鲁迅公园,64072,920,0,0
2号线,广兰路,阳光花城,2,2,115.46,南,,精装,1,中,19,2009,板楼,张江,67123,775,0,0
6号线,金桥路,金杨新村九街坊,1,1,33.49,南,,精装,0,中,6,1994,板楼,金杨,55241,185,0,0
9号线,肇嘉浜路,宛平南路71弄,2,1,65,南,,精装,0,中,6,1998,板楼,徐家汇,89231,580,0,0
10号线(新江湾城-虹桥火车站),殷高东路,九龙仓玺园,4,2,227.13,南,,其他,1,中,12,2012,板楼,新江湾城,85854,1950,0,0
13号线,隆德路,静安风华苑,2,2,114,南,,精装,1,低,27,2005,板楼,曹家渡,80632,919.2,0,0
8号线,虹口足球场,何家宅小区,1,1,35.36,南,,简装,0,中,6,1992,板楼,鲁迅公园,63632,225,0,0
8号线,曲阳路,密云路471弄,1,1,39.07,南,,精装,0,高,6,1988,板楼,曲阳,55798,218,0,0
2号线,娄山关路,新天地河滨花园,2,2,85.96,南,,精装,1,中,26,2011,板楼,天山,93998,808,0,0
12号线,龙华中路,临江豪园,2,2,114.03,南,,精装,1,高,12,2007,板楼,龙华,100851,1150,0,0
3号线,长江南路,美岸栖庭(公寓),2,2,97.42,南,,毛坯,1,低,14,2009,板楼,高境,59023,575,0,0
